STT,self_study_time,amount_of_subject,working_time,sleeping_time,extracurricular_time,social_media_time,learning_method,attendance_proportion,gpa
102,5 – 10 giờ,Trên 8 môn,Không,7 – 8 giờ,Không,1 – 2 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
103,5 – 10 giờ,Trên 8 môn,Không,6 – 7 giờ,Có,3 – 4 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
104,16 – 20 giờ,Trên 8 môn,Không,6 – 7 giờ,Có,3 – 4 giờ,Tự học cá nhân,70% – 85%,Trên 3.5
105,Trên 20 giờ,5 – 6 môn,Không,7 – 8 giờ,Không,1 – 2 giờ,Kết hợp cả hai,70% – 85%,3.0 – 3.5
106,11 – 15 giờ,7 – 8 môn,"Có, trên 20 giờ/tuần",6 – 7 giờ,Không,3 – 4 giờ,Tự học cá nhân,70% – 85%,Trên 3.5
107,5 – 10 giờ,5 – 6 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Có,1 – 2 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
108,5 – 10 giờ,7 – 8 môn,Không,6 – 7 giờ,Không,3 – 4 giờ,Kết hợp cả hai,50% – 70%,Trên 3.5
109,Dưới 5 giờ,Trên 8 môn,"Có, dưới 10 giờ/tuần",7 – 8 giờ,Không,Trên 6 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
110,11 – 15 giờ,Trên 8 môn,Không,7 – 8 giờ,Không,3 – 4 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
111,11 – 15 giờ,Trên 8 môn,Không,Dưới 5 giờ,Không,3 – 4 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
112,Dưới 5 giờ,Trên 8 môn,Không,Trên 8 giờ,Không,5 – 6 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
113,11 – 15 giờ,3 – 4 môn,Không,6 – 7 giờ,Có,1 – 2 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
114,Dưới 5 giờ,Trên 8 môn,"Có, dưới 10 giờ/tuần",5 – 6 giờ,Không,5 – 6 giờ,Kết hợp cả hai,85% – 95%,2.5 – 3.0
115,11 – 15 giờ,3 – 4 môn,Không,6 – 7 giờ,Có,1 – 2 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
116,16 – 20 giờ,Trên 8 môn,Không,5 – 6 giờ,Không,3 – 4 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
117,Dưới 5 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,5 – 6 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
118,5 – 10 giờ,3 – 4 môn,"Có, trên 20 giờ/tuần",5 – 6 giờ,Không,3 – 4 giờ,Tự học cá nhân,70% – 85%,2.5 – 3.0
119,5 – 10 giờ,Trên 8 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Không,3 – 4 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
120,5 – 10 giờ,3 – 4 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Có,3 – 4 giờ,Kết hợp cả hai,50% – 70%,Dưới 2.0
121,Dưới 5 giờ,5 – 6 môn,Không,7 – 8 giờ,Không,5 – 6 giờ,Tự học cá nhân,85% – 95%,Trên 3.5
122,Dưới 5 giờ,3 – 4 môn,Không,6 – 7 giờ,Không,3 – 4 giờ,Tự học cá nhân,50% – 70%,3.0 – 3.5
123,5 – 10 giờ,7 – 8 môn,Không,6 – 7 giờ,Có,1 – 2 giờ,Kết hợp cả hai,70% – 85%,2.5 – 3.0
124,Trên 20 giờ,3 – 4 môn,"Có, 10 – 20 giờ/tuần",7 – 8 giờ,Không,3 – 4 giờ,Tự học cá nhân,50% – 70%,Trên 3.5
125,11 – 15 giờ,5 – 6 môn,Không,5 – 6 giờ,Không,5 – 6 giờ,Tự học cá nhân,70% – 85%,3.0 – 3.5
126,Trên 20 giờ,7 – 8 môn,"Có, trên 20 giờ/tuần",6 – 7 giờ,Có,3 – 4 giờ,Kết hợp cả hai,85% – 95%,2.5 – 3.0
127,Trên 20 giờ,Trên 8 môn,"Có, trên 20 giờ/tuần",Dưới 5 giờ,Có,Dưới 1 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
128,5 – 10 giờ,7 – 8 môn,"Có, dưới 10 giờ/tuần",Dưới 5 giờ,Không,3 – 4 giờ,Kết hợp cả hai,Trên 95%,Trên 3.5
129,5 – 10 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,1 – 2 giờ,Kết hợp cả hai,70% – 85%,3.0 – 3.5
130,11 – 15 giờ,5 – 6 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Có,3 – 4 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
131,5 – 10 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,Trên 6 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
132,Dưới 5 giờ,5 – 6 môn,"Có, trên 20 giờ/tuần",5 – 6 giờ,Có,3 – 4 giờ,Kết hợp cả hai,50% – 70%,2.0 – 2.5
133,Trên 20 giờ,5 – 6 môn,"Có, 10 – 20 giờ/tuần",6 – 7 giờ,Không,3 – 4 giờ,Kết hợp cả hai,70% – 85%,Trên 3.5
134,Dưới 5 giờ,5 – 6 môn,Không,5 – 6 giờ,Không,3 – 4 giờ,Kết hợp cả hai,50% – 70%,3.0 – 3.5
135,11 – 15 giờ,3 – 4 môn,Không,6 – 7 giờ,Không,1 – 2 giờ,Kết hợp cả hai,70% – 85%,3.0 – 3.5
136,Dưới 5 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,5 – 6 giờ,Kết hợp cả hai,70% – 85%,Trên 3.5
137,5 – 10 giờ,Trên 8 môn,Không,7 – 8 giờ,Không,3 – 4 giờ,Kết hợp cả hai,50% – 70%,3.0 – 3.5
138,11 – 15 giờ,7 – 8 môn,Không,Trên 8 giờ,Không,Trên 6 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
139,Trên 20 giờ,7 – 8 môn,Không,7 – 8 giờ,Không,Trên 6 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
140,5 – 10 giờ,5 – 6 môn,Không,Dưới 5 giờ,Không,3 – 4 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
141,5 – 10 giờ,5 – 6 môn,"Có, 10 – 20 giờ/tuần",Trên 8 giờ,Có,3 – 4 giờ,Tự học cá nhân,50% – 70%,Trên 3.5
142,Dưới 5 giờ,5 – 6 môn,"Có, dưới 10 giờ/tuần",5 – 6 giờ,Không,3 – 4 giờ,Tự học cá nhân,50% – 70%,3.0 – 3.5
143,11 – 15 giờ,7 – 8 môn,"Có, trên 20 giờ/tuần",5 – 6 giờ,Có,3 – 4 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
144,Dưới 5 giờ,5 – 6 môn,Không,Trên 8 giờ,Không,3 – 4 giờ,Kết hợp cả hai,50% – 70%,2.5 – 3.0
145,11 – 15 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,3 – 4 giờ,Tự học cá nhân,70% – 85%,3.0 – 3.5
146,5 – 10 giờ,Trên 8 môn,Không,6 – 7 giờ,Không,5 – 6 giờ,Kết hợp cả hai,Trên 95%,Trên 3.5
147,Dưới 5 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,3 – 4 giờ,Tự học cá nhân,85% – 95%,3.0 – 3.5
148,16 – 20 giờ,Trên 8 môn,"Có, dưới 10 giờ/tuần",7 – 8 giờ,Không,3 – 4 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
149,5 – 10 giờ,Trên 8 môn,"Có, 10 – 20 giờ/tuần",7 – 8 giờ,Không,5 – 6 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
150,Dưới 5 giờ,3 – 4 môn,"Có, dưới 10 giờ/tuần",Dưới 5 giờ,Không,1 – 2 giờ,Học nhóm,Dưới 50%,2.0 – 2.5
151,5 – 10 giờ,Trên 8 môn,Không,5 – 6 giờ,Không,1 – 2 giờ,Kết hợp cả hai,Trên 95%,Trên 3.5
152,16 – 20 giờ,5 – 6 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Có,Dưới 1 giờ,Tự học cá nhân,85% – 95%,3.0 – 3.5
153,11 – 15 giờ,7 – 8 môn,Không,5 – 6 giờ,Không,3 – 4 giờ,Kết hợp cả hai,50% – 70%,2.5 – 3.0
154,Dưới 5 giờ,Trên 8 môn,Không,6 – 7 giờ,Không,Trên 6 giờ,Tự học cá nhân,50% – 70%,2.5 – 3.0
155,11 – 15 giờ,7 – 8 môn,Không,5 – 6 giờ,Có,1 – 2 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
156,Trên 20 giờ,Trên 8 môn,Không,6 – 7 giờ,Không,5 – 6 giờ,Tự học cá nhân,50% – 70%,2.5 – 3.0
157,11 – 15 giờ,3 – 4 môn,Không,7 – 8 giờ,Không,3 – 4 giờ,Tự học cá nhân,85% – 95%,3.0 – 3.5
158,5 – 10 giờ,7 – 8 môn,Không,7 – 8 giờ,Không,Trên 6 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
159,5 – 10 giờ,7 – 8 môn,Không,5 – 6 giờ,Có,5 – 6 giờ,Kết hợp cả hai,85% – 95%,Trên 3.5
160,5 – 10 giờ,5 – 6 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Không,3 – 4 giờ,Tự học cá nhân,50% – 70%,2.0 – 2.5
161,16 – 20 giờ,5 – 6 môn,Không,Dưới 5 giờ,Có,3 – 4 giờ,Kết hợp cả hai,85% – 95%,2.5 – 3.0
